index,speaker,gender,discourse,phone,ipa,syllable,word,transcription,previous_phone,previous_phone_ipa,following_phone,following_phone_ipa,phone_begin,phone_end,syllable_begin,syllable_end,word_begin,word_end,F1,F2,F3,include,winner_auto,winner,winner_F1,winner_F2,winner_F3,winner_F4,comment
0,27,male,27-123349-0036,AA,ɑ,N.AA.T,not,N.AA1.T,N,n,T,t,2.1,2.24,2.03,2.34,2.03,2.34,888.84,1350.62,2756.04,,10,,,,,,
1,27,male,27-124992-0068,AA,ɑ,P.AA.N,upon,AH0.P.AA1.N,P,p,N,n,1.66,1.78,1.51,1.83,1.45,1.83,742.21,1014.97,2888.2,,6,,,,,,
2,27,male,27-124992-0001,AA,ɑ,AA.R.M.D,armed,AA1.R.M.D,<SIL>,,R,ɹ,5.91,6.02,5.91,6.18,5.91,6.18,728.47,940.06,2753.77,,4,,,,,,
3,27,male,27-124992-0033,AA,ɑ,AA.F,off,AA1.F,<SIL>,,F,f,4.09,4.3,4.09,4.51,4.09,4.51,666.54,1032.7,2563.9,,4,,,,,,
4,27,male,27-123349-0025,AA,ɑ,F.AA,followers,F.AA1.L.OW0.ER0.Z,F,f,L,l,2.74,2.85,2.67,2.85,2.67,3.31,688.55,1043.3,3007.76,,12,,,,,,
5,27,male,27-123349-0017,AE,æ,M.AE,masters,M.AE1.S.T.ER0.Z,M,m,S,s,12.26,12.39,12.22,12.39,12.22,12.7,745.63,1675.0,2399.08,,5,,,,,,
6,27,male,27-123349-0043,AE,æ,DH.AE.T,that,DH.AE1.T,DH,ð,T,t,14.42,14.49,14.33,14.61,14.33,14.61,554.45,1647.97,2657.82,,5,,,,,,
7,27,male,27-124992-0074,AE,æ,AE.N.D,and,AE1.N.D,<SIL>,,N,n,0.23,0.3,0.23,0.38,0.23,0.38,696.35,1744.53,2623.03,,8,,,,,,
8,27,male,27-123349-0021,AE,æ,HH.AE.D,had,HH.AE1.D,HH,h,D,d,4.37,4.45,4.32,4.55,4.32,4.55,554.51,1857.49,2588.61,,8,,,,,,
9,27,male,27-123349-0026,AE,æ,B.AE,ambassador,AE0.M.B.AE1.S.AH0.D.ER0,B,b,S,s,2.63,2.75,2.56,2.75,2.43,3.21,752.31,1612.91,2640.41,,6,,,,,,
10,27,male,27-123349-0018,AH,ʌ,AH.V,of,AH0.V,ER,ɚ,V,v,2.57,2.71,2.57,2.75,2.57,2.75,551.39,1540.22,2067.87,,5,,,,,,
11,27,male,27-123349-0012,AH,ʌ,AH,a,AH0,Z,z,G,ɡ,10.19,10.27,10.19,10.27,10.19,10.27,433.7,1598.41,2616.43,,4,,,,,,
12,27,male,27-123349-0056,AH,ʌ,AH,a,AH0,T,t,M,m,1.8,1.86,1.8,1.86,1.8,1.86,425.42,1599.25,2684.49,,7,,,,,,
13,27,male,27-123349-0044,AH,ʌ,K.AH.M,comply,K.AH0.M.P.L.AY1,K,k,M,m,14.65,14.71,14.56,14.76,14.56,15.07,541.45,1349.11,2420.18,,6,,,,,,
14,27,male,27-123349-0058,AH,ʌ,W.AH.Z,was,W.AH0.Z,W,w,Z,z,2.68,2.75,2.58,2.79,2.58,2.79,518.76,1385.67,2393.01,,7,,,,,,
15,27,male,27-123349-0032,AO,ɔ,L.AO,law,L.AO1,L,l,<SIL>,,13.54,13.79,13.5,13.79,13.5,13.79,768.8,815.31,3085.15,,0,,,,,,
16,27,male,27-124992-0027,AO,ɔ,F.AO.R,four,F.AO1.R,F,f,R,ɹ,1.92,2.04,1.76,2.25,1.76,2.25,518.53,821.18,2418.15,,6,,,,,,
17,27,male,27-124992-0059,AO,ɔ,S.AO.R.D,sword,S.AO1.R.D,S,s,R,ɹ,1.28,1.4,1.1,1.5,1.1,1.5,448.43,886.07,2346.91,,3,,,,,,
18,27,male,27-124992-0028,AO,ɔ,L.AO.R.D,lord,L.AO1.R.D,L,l,R,ɹ,3.54,3.68,3.45,3.85,3.45,3.85,472.76,800.75,2794.19,,6,,,,,,
19,27,male,27-124992-0041,AO,ɔ,F.AO.R,four,F.AO1.R,F,f,R,ɹ,11.48,11.57,11.33,11.64,11.33,11.64,483.18,763.18,2345.82,,3,,,,,,
20,27,male,27-124992-0038,AW,aw,HH.AW,how,HH.AW1,HH,h,G,ɡ,3.24,3.37,3.15,3.37,3.15,3.37,768.68,1175.96,2486.45,,4,,,,,,
21,27,male,27-123349-0004,AW,aw,T.AW.N,town,T.AW1.N,T,t,N,n,14.66,14.88,14.52,14.93,14.52,14.93,763.57,1406.51,2707.11,,3,,,,,,
22,27,male,27-124992-0006,AW,aw,AW.T,out,AW1.T,OW,ow,T,t,0.61,0.8,0.61,0.9,0.61,0.9,832.16,1416.19,2489.16,,8,,,,,,
23,27,male,27-124992-0064,AW,aw,B.AW.N.D,bound,B.AW1.N.D,B,b,N,n,1.24,1.41,1.17,1.49,1.17,1.49,814.26,1324.51,2451.96,,7,,,,,,
24,27,male,27-124992-0070,AW,aw,DH.AW,thou,DH.AW1,DH,ð,HH,h,2.43,2.59,2.37,2.59,2.37,2.59,730.8,1455.06,2317.05,,7,,,,,,
25,27,male,27-124992-0067,AY,aj,L.AY.T.S,israelites,IH1.Z.R.AH0.L.AY2.T.S,L,l,T,t,3.65,3.74,3.6,3.98,3.29,3.98,744.12,1291.57,2811.57,,9,,,,,,
26,27,male,27-123349-0026,AY,aj,N.AY,united,Y.UW0.N.AY1.T.IH0.D,N,n,T,t,3.64,3.79,3.6,3.79,3.51,3.99,811.55,1424.87,2366.42,,9,,,,,,
27,27,male,27-123349-0034,AY,aj,T.AY.M,time,T.AY1.M,T,t,M,m,7.17,7.32,7.0,7.37,7.0,7.37,840.18,1511.15,3050.51,,10,,,,,,
28,27,male,27-123349-0029,AY,aj,G.AY.L,argyle,AA1.R.G.AY2.L,G,ɡ,L,l,0.54,0.68,0.44,0.92,0.2,0.92,649.96,1310.22,2539.91,,3,,,,,,
29,27,male,27-123349-0004,AY,aj,B.AY,by,B.AY1,B,b,DH,ð,13.4,13.48,13.36,13.48,13.36,13.48,630.57,1360.33,2486.88,,4,,,,,,
30,27,male,27-124992-0033,EH,ɛ,DH.EH.R,their,DH.EH1.R,DH,ð,R,ɹ,3.1,3.16,3.09,3.22,3.09,3.22,485.8,1699.37,2608.13,,6,,,,,,
31,27,male,27-123349-0000,EH,ɛ,N.EH,necessary,N.EH1.S.AH0.S.EH2.R.IY0,N,n,S,s,6.86,6.95,6.78,6.95,6.78,7.45,629.39,1532.6,2772.56,,6,,,,,,
32,27,male,27-123349-0034,EH,ɛ,N.EH,never,N.EH1.V.ER0,N,n,V,v,3.92,4.02,3.87,4.02,3.87,4.19,649.1,1768.95,2628.24,,12,,,,,,
33,27,male,27-123349-0020,EH,ɛ,JH.EH.K,ejected,IH0.JH.EH1.K.T.IH0.D,JH,dʒ,K,k,5.41,5.49,5.3,5.61,5.26,5.83,567.04,1751.87,2516.37,,4,,,,,,
