file,speaker,gender,discourse,phone,ipa,syllable,word,transcription,previous_phone,previous_phone_ipa,following_phone,following_phone_ipa,phone_begin,phone_end,syllable_begin,syllable_end,word_begin,word_end,F1,F2,F3,clip_begin,clip_end,phone_begin_corrected,phone_end_corrected,alignment,alignment_comment
00000_AA_27_male_27-123349-0036_2.1,27,male,27-123349-0036,AA,ɑ,N.AA.T,not,N.AA1.T,N,n,T,t,2.1,2.24,2.03,2.34,2.03,2.34,888.84,1350.62,2756.04,1.84,2.43,2.1,2.24,ok,
00001_AA_27_male_27-124992-0068_1.66,27,male,27-124992-0068,AA,ɑ,P.AA.N,upon,AH0.P.AA1.N,P,p,N,n,1.66,1.78,1.51,1.83,1.45,1.83,742.21,1014.97,2888.2,1.13,2,1.66,1.78,ok,
00002_AA_27_male_27-124992-0001_5.91,27,male,27-124992-0001,AA,ɑ,AA.R.M.D,armed,AA1.R.M.D,<SIL>,,R,ɹ,5.91,6.02,5.91,6.18,5.91,6.18,728.47,940.06,2753.77,5.82,6.44,5.91,6.02,ok,
00003_AA_27_male_27-124992-0033_4.09,27,male,27-124992-0033,AA,ɑ,AA.F,off,AA1.F,<SIL>,,F,f,4.09,4.3,4.09,4.51,4.09,4.51,666.54,1032.7,2563.9,4.05,4.91,4.09,4.3,ok,
00004_AA_27_male_27-123349-0025_2.74,27,male,27-123349-0025,AA,ɑ,F.AA,followers,F.AA1.L.OW0.ER0.Z,F,f,L,l,2.74,2.85,2.67,2.85,2.67,3.31,688.55,1043.3,3007.76,2.45,3.44,2.74,2.85,ok,
00005_AE_27_male_27-123349-0017_12.26,27,male,27-123349-0017,AE,æ,M.AE,masters,M.AE1.S.T.ER0.Z,M,m,S,s,12.26,12.39,12.22,12.39,12.22,12.7,745.63,1675,2399.08,12.06,12.82,12.26,12.39,ok,
00006_AE_27_male_27-123349-0043_14.42,27,male,27-123349-0043,AE,æ,DH.AE.T,that,DH.AE1.T,DH,ð,T,t,14.42,14.49,14.33,14.61,14.33,14.61,554.45,1647.97,2657.82,13.64,14.91,14.42,14.49,ok,
00007_AE_27_male_27-124992-0074_0.23,27,male,27-124992-0074,AE,æ,AE.N.D,and,AE1.N.D,<SIL>,,N,n,0.23,0.3,0.23,0.38,0.23,0.38,696.35,1744.53,2623.03,0,0.49,0.2464237402,0.3122205687,ok,~- silence/nasal
00008_AE_27_male_27-123349-0021_4.37,27,male,27-123349-0021,AE,æ,HH.AE.D,had,HH.AE1.D,HH,h,D,d,4.37,4.45,4.32,4.55,4.32,4.55,554.51,1857.49,2588.61,4.17,4.73,4.37,4.45,ok,
00009_AE_27_male_27-123349-0026_2.63,27,male,27-123349-0026,AE,æ,B.AE,ambassador,AE0.M.B.AE1.S.AH0.D.ER0,B,b,S,s,2.63,2.75,2.56,2.75,2.43,3.21,752.31,1612.91,2640.41,2.23,3.24,2.63,2.75,ok,
00010_AH_27_male_27-123349-0018_2.57,27,male,27-123349-0018,AH,ʌ,AH.V,of,AH0.V,ER,ɚ,V,v,2.57,2.71,2.57,2.75,2.57,2.75,551.39,1540.22,2067.87,2.09,2.83,2.57,2.71,ok,
00011_AH_27_male_27-123349-0012_10.19,27,male,27-123349-0012,AH,ʌ,AH,a,AH0,Z,z,G,ɡ,10.19,10.27,10.19,10.27,10.19,10.27,433.7,1598.41,2616.43,9.98,10.72,10.19,10.27,ok,
00012_AH_27_male_27-123349-0056_1.8,27,male,27-123349-0056,AH,ʌ,AH,a,AH0,T,t,M,m,1.8,1.86,1.8,1.86,1.8,1.86,425.42,1599.25,2684.49,1.29,2.75,1.8,1.86,ok,
00013_AH_27_male_27-123349-0044_14.65,27,male,27-123349-0044,AH,ʌ,K.AH.M,comply,K.AH0.M.P.L.AY1,K,k,M,m,14.65,14.71,14.56,14.76,14.56,15.07,541.45,1349.11,2420.18,14.46,15.23,14.65,14.71,ok,
00014_AH_27_male_27-123349-0058_2.68,27,male,27-123349-0058,AH,ʌ,W.AH.Z,was,W.AH0.Z,W,w,Z,z,2.68,2.75,2.58,2.79,2.58,2.79,518.76,1385.67,2393.01,2.35,3.28,2.68,2.75,ok,
00015_AO_27_male_27-123349-0032_13.54,27,male,27-123349-0032,AO,ɔ,L.AO,law,L.AO1,L,l,<SIL>,,13.54,13.79,13.5,13.79,13.5,13.79,768.8,815.31,3085.15,13.34,14.19,13.54,13.79,ambiguous,fading ending
00016_AO_27_male_27-124992-0027_1.92,27,male,27-124992-0027,AO,ɔ,F.AO.R,four,F.AO1.R,F,f,R,ɹ,1.92,2.04,1.76,2.25,1.76,2.25,518.53,821.18,2418.15,1.3,2.775,1.92,2.04,ok,
00017_AO_27_male_27-124992-0059_1.28,27,male,27-124992-0059,AO,ɔ,S.AO.R.D,sword,S.AO1.R.D,S,s,R,ɹ,1.28,1.4,1.1,1.5,1.1,1.5,448.43,886.07,2346.91,0.99,1.64,1.28,1.4,ok,
00018_AO_27_male_27-124992-0028_3.54,27,male,27-124992-0028,AO,ɔ,L.AO.R.D,lord,L.AO1.R.D,L,l,R,ɹ,3.54,3.68,3.45,3.85,3.45,3.85,472.76,800.75,2794.19,3.33,4.055,3.52377303,3.68,ok,~L
00019_AO_27_male_27-124992-0041_11.48,27,male,27-124992-0041,AO,ɔ,F.AO.R,four,F.AO1.R,F,f,R,ɹ,11.48,11.57,11.33,11.64,11.33,11.64,483.18,763.18,2345.82,11.13,12.07,11.48,11.57,ok,
