file,winner_auto
00000_AA_27_male_27-123349-0036_2.1,10
00001_AA_27_male_27-124992-0068_1.66,6
00002_AA_27_male_27-124992-0001_5.91,4
00003_AA_27_male_27-124992-0033_4.09,4
00004_AA_27_male_27-123349-0025_2.74,12
00005_AE_27_male_27-123349-0017_12.26,5
00006_AE_27_male_27-123349-0043_14.42,5
00007_AE_27_male_27-124992-0074_0.23,7
00008_AE_27_male_27-123349-0021_4.37,8
00009_AE_27_male_27-123349-0026_2.63,6
00010_AH_27_male_27-123349-0018_2.57,5
00011_AH_27_male_27-123349-0012_10.19,4
00012_AH_27_male_27-123349-0056_1.8,7
00013_AH_27_male_27-123349-0044_14.65,6
00014_AH_27_male_27-123349-0058_2.68,7
00015_AO_27_male_27-123349-0032_13.54,0
00016_AO_27_male_27-124992-0027_1.92,6
00017_AO_27_male_27-124992-0059_1.28,3
00018_AO_27_male_27-124992-0028_3.54,2
00019_AO_27_male_27-124992-0041_11.48,3
